prolific_id,consent,gender,age,qualification,english_prof,past_amr_experience_check,past_amr_experience,interaction_1_describe,interaction_1_communicating_intent_check,interaction_1_communicating_response,interaction_1_light_behaviour,interaction_2_describe,interaction_2_communicating_intent_check,interaction_2_communicating_response,interaction_2_light_behaviour,interaction_3_describe,interaction_3_communicating_intent_check,interaction_3_communicating_response,interaction_3_light_behaviour,interaction_4_describe,interaction_4_communicating_intent_check,interaction_4_communicating_response,interaction_4_light_behaviour,trust,general_trust,safe,general_safe,improved_perception,intent_communication_makes_user_comfortable,displayed_social_behaviours
56ab6fd869b24700065cbdbd,yes,Male,56,High school diploma or equivalent,Native or Bilingual Proficiency,1,,intuitive of obstacles,Somewhat agree,to emphasize the mower is aware of objects in its path,It was moderately important in emphasizing that its movement was programmed and meant,slowed when sensing movement ahead,Somewhat agree,That sensors pick up on movement and adjust pace and direction of mower accordingly,Not important as not seen,Moves back and forth up to an obstacle without hitting it,Somewhat agree,that the mower is aware of obstacles and will not advance until clear,moderately important to give confidence that movement is intentional,"moves toward back of person before going around, but moves back and forth when person is head on",Neither agree nor disagree,different reaction depending on approach,moderately as light flashes only when approaching front of person where it can be viewed and lets them know the sensors have detected them,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree
58dcde8917943b000152a8e8,yes,Female,57,Master's degree or higher,Full Professional Proficiency,3,"Well, I have used some in the last 10 years (especially vacuum cleaner robots)",The mower stops when there's an obstacle on its pat and moves aside,Strongly disagree,I don't think a robot has purposes/intentions.,I think so.,The mower decreases its speed when there is a moving obstacle on its path and adjusts it to the speed of the obstacle.,Strongly disagree,I don't believe a robot can communicate a purpose.,I think so.,"When the mower finds an obstacle on its path it starts moving back and forth without ""solving"" the problem.",Strongly disagree,I don't believe a robot can communicate purposes.,,"In this case, the mower first avoids the obstacle by going around it, but then it starts to wander back and forth without solving the problem.",Strongly disagree,I don't believe a robot can communicate a purpose.,In a certain way,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree
590a3c659e26f200016e144b,yes,Male,33,High school diploma or equivalent,Native or Bilingual Proficiency,3,"I have used one in work, as I work in a lab, and I have used a lawnmower.","Pleasant, intuitive.",Neither agree nor disagree,I believe the robot is just stopping itself from continuing its job as it has encountered an issue (the person),Yes.,"It follows the man closely behind, being obedient.",Somewhat disagree,I believe it is just doing its job.,Yes.,"It is moving back and forth toward the person, like it wants to get past.",Somewhat agree,It was trying to communicate that it wished to pass the person.,Yes.,It gives a wide berth to the person in front so it can do its job on the other side.,Neither agree nor disagree,I believe it is doing its job and viewing the person as an obstacle.,Yes.,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree
590b3401182caf0001ab5801,yes,Female,48,Bachelor's degree,Native or Bilingual Proficiency,2,"Been at a friends that had one in the form of a vaccum cleaner, it was great and intriguing to watch",It was in the way of someone walking so it backed up and got out of the way to let the person pass,Somewhat agree,It knew it was in the way and moved,yes,It slowed down to prevent causing impact or accident,Somewhat agree,Not to collide with any objects or persons to reduce accident or damage,yes,"senses an obstruction and stops, and tries again but due to obstruction remaining it still stopped its journey",Somewhat agree,not to collide with objects,yes,sensed obstruction in its path and went around it before continuing its purpose,Somewhat agree,"to complete its job without colliding with obstructions, it goes around",yes,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree
597866321cb0370001f56015,yes,Non-Binary,30,Master's degree or higher,Minimum Professional Proficiency,4,"I have experience with cleaning autonomous mobile robots, In my house and my work office",The mower's trajectory is altered once it encounters a person so it allows the person to keep their path,Neither agree nor disagree,"It seems to show like the mower is showing the person that it is letting the person keep walking, the way the mower moves is similar to the way someone would move out of the way to let someone pass them","I think that behaviour makes the robot seem more human-like, but I don't think that that is good or efficient. The robot is a machine, it should detect the person and go around them, not let them pass like a person would.",The mower slowed down so it would not crash into the person,Neither agree nor disagree,Well.. the purpose it's to not crash into the person,"Yes, it's extremely important not to harm a person",The mower detected something and it's backing but it seems to be stuck on the backing,Strongly disagree,I think it's just trying to not crash,"No, it doesn't seem so","The mower detected the person and went around it but later on when it detected the person it goes back and it seems stuck, maybe the sensor is catching the line on the floor?",Somewhat disagree,The robot purspose was to not crash into the person and keep going,It seemed to have a mission and it seemed eficient on it until it got stuck,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Strongly agree
5a06f0579b760100013a6d8c,yes,Male,49,Master's degree or higher,Minimum Professional Proficiency,3,I have minimal knowledge of how robots work. I would like to delve deeper into the new technologies relating to these work tools.,The mower sensed an obstacle and moved backwards,Strongly disagree,The lawnmower doesn't want to communicate anything other than avoiding the obstacle,"No, I don't think the lights had a function",The lawnmower keeps its distance from human obstacles,Strongly disagree,The lawnmower served no purpose other than to avoid hitting the person,No,The lawnmower wants to make it clear that he wants to pass,Somewhat agree,The lawnmower wants to pass,No,The lawnmower avoids the obstacle and then makes it clear that it wants to pass,Neither agree nor disagree,The lawnmower wants to make it clear that it wants to pass,No,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree
5a2310ebdf5bd00001b37474,yes,Female,40,Master's degree or higher,Full Professional Proficiency,4,"My experience is quite good with mobile devices, especially when it comes to cleaning robots.",The lawnmower stopped when a man stood in front of it and then gave way for him to pass.,Strongly agree,"Evidently, the mower backed up to let the passing man pass. She made room for him to pass through.","This behavior was important and at the same time a surprise to me, because I didn't think he would back down and make room for a passage.",The mower drove slowly so as not to hit the man in front of it.,Strongly agree,"I want to show Kosiaka that she knows that someone is moving in front of her and she doesn't want to hit that person, so she slowed down and started moving slowly behind the person.",This behavior was important because it ensures that the mower does not hit any person or animal moving in front of it.,"After encountering a man, the mower retreats and drives under the man's feet.",Somewhat agree,"The mower, when reversing and driving up, gives a message that this person is in its driving area so that he can make room for her to pass.","The behavior was quite important, but it wasn't very clear.",The mower first passed the man and then started to drive under his legs.,Somewhat agree,The mower wants to show that the man is in the path of its path and I should get off it.,I don't think it was that important because the mower could have passed the man from all sides and kept going.,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Strongly agree
5a3e5fb0b77a5000014a755a,yes,Female,34,Master's degree or higher,Full Professional Proficiency,3,I have a robot vacuum cleaner that moves autonomously and I read news about ro,It recognizes obstacles and when it encounters one it moves to the side to let the human pass.,Somewhat agree,"The robot is trying to coexist with the human being, that is, to carry out its work without interfering with people's lives.","Yes,, light warns the person and is useful to avoid frightening",It slows down when it senses a person in front of it so as not to run over them,Somewhat agree,It try not to hurt people or cause accidents.,No because the person cannot see it,"The mower recognized a fixed obstacle in front of it and stopped, but not completely waiting for the person to move.",Strongly agree,"Yes, he is not dangerous and knows how to stop in front of a person.",It is important to warn the person that the robot has seen an obstacle and will stop.,"I didn't quite understand the behavior of mower, it saw an obstacle, changed its trajectory to continue moving forward but went back, reversing its direction and stopped so as not to hit the person.",Somewhat agree,"Knows how to recognize a person and avoid them, it's not for","Only partly because he only warns of his intentions at the end, that is, that he has perceived the person and wants to stop.",Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree
5a60a51863394a0001552447,yes,Female,27,Master's degree or higher,Full Professional Proficiency,3,"I have a robot vacuum cleaner. In the past, I've also been to restaurants where the waiters are robots.","The mower was moving to the left until it found an obstacle (a person). It stopped, went back and stopped again.",Somewhat agree,The mower is trying to communicate that noticed an object and that knows that it's not suppose to continue moving straight.,"I think so, I think that the fact it moved in the end showed that it wouldn't proceed.","The mower started moving from right to left and when it noticed an object moving with a different velocity, it slowed down not to hit it.",Somewhat agree,The mower is communicating that he knows the object is moving and knows its velocity.,"I think so, it shows that it's aware of its surroundings.","The mower moved from right to left. When it noticed an obstacle, it moved back and tried again to go in the same direction. Did it multiple times (move foward and back) and wasn't able to proceed with its work.",Somewhat agree,I think it's trying to communicate that it noticed an object but isn't able to continue its path.,"I think so. Howerver, it won't be able to complete its task, from what is shown in the video.","The mower starts moving from right to left. Finds an obstacle, gets around it. Returns and finds the obstacle again. This time, moves foward and back multiple times.",Somewhat disagree,"In this case, since the behavior was different the 2 times the mower found the object, I'm not sure if it's trying to communicate something / what motivated different behaviors.","It is, that it noticed the other object.",Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat agree
5aeab425f00c7f00018f74d0,yes,Female,26,Bachelor's degree,Native or Bilingual Proficiency,1,,"The mower goes straight but when it encounters a person, it moves backwards to let the person pass.",Strongly disagree,"I think that the robot doesn't have a purpose, but is intended to step back when encountering a person suddenly.","I think it did, it showed when an unexpected situation occured and signaled that it would change it's behaviour.","The mower goes straight, then when finding that the object before it is moving slower, it slows down too, so as to not collide into it.",Strongly disagree,"I believe that the robot is preventing an 'accident', so it slows down.",The steady lights indicated that it was moving forward.,"The mower goes straight, and, when encountering an object, goes backwards and forwards, every time it senses the object is there still it repeats the behaviour.",Strongly disagree,"The robot is preventing an accident, so it keeps going backwards and forwards.","Yes, I think it indicates well the intentions when going back.","The mower goes straight, and, when encountering a person, it changes it course to the side, then, when going back, it keeps going backwards and forwards in front of the person.",Somewhat disagree,"The robot is avoiding crashing into the person so it swerves to the side, when going back, it keeps sensing the person; so it goes forwards and backwards.",I think the light clearly states what movement the robot does.,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree
